Metod Name,Accuracy_test,Precision_test,Recall_test,Roc_auc_test,Правильно предсказали в итоговом тесте
Scikit-learn Random Forest,0.9511041009463722,0.9054054054054054,0.7362637362637363,0.9421812073745776,156 из 167
Scikit-learn AdaBoostClassifier,0.8848580441640379,0.6551724137931034,0.4175824175824176,0.8886730212697064,145 из 167
Scikit-learn GradientBoostingClassifier,0.9511041009463722,0.9054054054054054,0.7362637362637363,0.947665594074434,154 из 167
XGBoost,0.9463722397476341,0.9014084507042254,0.7032967032967034,0.9460465869305648,158 из 167
